square_id,model,datetime,actual,predicted,absolute_error,percentage_error
5161,CNN,2013-12-22 15:20:00,5496.4404,4641.442,854.99854,15.555495
5161,CNN,2013-12-22 14:30:00,4911.654,4158.7437,752.91016,15.329056
5161,CNN,2013-12-17 15:00:00,3876.9597,3125.0144,751.9453,19.395233
5161,LSTM,2013-12-17 15:00:00,3876.9597,3154.7441,722.2156,18.6284
5161,CNN,2013-12-21 14:50:00,5115.5303,4397.3916,718.1387,14.038402
5161,CNN,2013-12-22 15:10:00,5202.037,4487.593,714.44434,13.733933
5161,CNN,2013-12-18 12:20:00,3527.2244,2884.3232,642.9011,18.226828
5161,MLP,2013-12-22 20:10:00,573.801,1216.6494,642.8484,112.03333
5161,CNN,2013-12-17 14:30:00,3517.678,2875.4612,642.2168,18.256838
5161,CNN,2013-12-22 14:00:00,4441.4775,3805.9321,635.5454,14.309324
5161,LSTM,2013-12-17 14:30:00,3517.678,2891.5327,626.14526,17.79996
5161,LSTM,2013-12-22 15:20:00,5496.4404,4874.2607,622.1797,11.319684
5059,CNN,2013-12-20 22:40:00,1177.4384,556.40234,621.036,52.744675
5161,CNN,2013-12-18 12:30:00,3725.421,3106.3171,619.10376,16.618357
5161,CNN,2013-12-22 14:20:00,4638.5596,4021.8367,616.7229,13.295568
5161,MLP,2013-12-17 15:00:00,3876.9597,3267.1038,609.85596,15.730264
5059,MLP,2013-12-20 22:40:00,1177.4384,578.7829,598.65546,50.843887
5161,MLP,2013-12-17 14:30:00,3517.678,2932.1091,585.56885,16.64646
5161,LSTM,2013-12-22 14:30:00,4911.654,4335.255,576.3989,11.7353325
5059,LSTM,2013-12-20 22:40:00,1177.4384,605.6286,571.80975,48.56388
5161,LSTM,2013-12-18 12:20:00,3527.2244,2955.9072,571.31714,16.197357
5161,LSTM,2013-12-18 12:30:00,3725.421,3166.7349,558.68604,14.996588
5161,MLP,2013-12-22 15:20:00,5496.4404,4960.5786,535.8618,9.749251
5161,LSTM,2013-12-17 14:40:00,3524.895,2997.3887,527.50635,14.965164
5161,MLP,2013-12-22 20:20:00,561.53125,1085.0846,523.55334,93.236725
5161,MLP,2013-12-22 20:00:00,756.34454,1274.15,517.8055,68.461586
5161,MLP,2013-12-22 14:30:00,4911.654,4397.938,513.7158,10.459122
5161,MLP,2013-12-22 19:40:00,878.2758,1379.0063,500.73053,57.012905
5161,LSTM,2013-12-22 09:30:00,1506.1578,1009.9444,496.21344,32.94565
5161,MLP,2013-12-21 14:50:00,5115.5303,4622.257,493.27344,9.642665
5161,MLP,2013-12-18 12:20:00,3527.2244,3034.9644,492.26,13.956017
5161,LSTM,2013-12-17 13:20:00,3208.6392,3688.4155,479.77637,14.952643
5161,LSTM,2013-12-22 14:00:00,4441.4775,3967.6184,473.85913,10.668953
5059,CNN,2013-12-17 15:10:00,3124.105,2654.0554,470.04956,15.045895
5059,LSTM,2013-12-17 15:10:00,3124.105,2669.1226,454.98242,14.563608
5259,CNN,2013-12-19 17:10:00,2245.4712,2690.6885,445.2173,19.827343
5059,MLP,2013-12-18 14:00:00,2524.7148,2964.1704,439.45557,17.406147
5259,MLP,2013-12-19 17:10:00,2245.4712,2673.8186,428.3474,19.07606
5259,MLP,2013-12-19 12:20:00,2906.8586,3323.4695,416.61084,14.331995
5259,LSTM,2013-12-19 17:10:00,2245.4712,2661.2322,415.761,18.515535
5059,CNN,2013-12-18 15:30:00,2889.628,2476.6807,412.94727,14.290672
5259,CNN,2013-12-19 12:20:00,2906.8586,3318.8552,411.99658,14.173259
5059,MLP,2013-12-17 15:10:00,3124.105,2712.7026,411.40234,13.168647
5059,CNN,2013-12-18 14:00:00,2524.7148,2935.9395,411.2246,16.287964
5059,LSTM,2013-12-18 15:30:00,2889.628,2479.2913,410.33667,14.200328
5259,MLP,2013-12-20 14:40:00,3127.0876,2718.722,408.36572,13.05898
5059,MLP,2013-12-17 14:00:00,2396.328,2796.4114,400.0835,16.695692
5259,MLP,2013-12-19 16:00:00,3048.158,2652.2231,395.9348,12.989314
