model,config_id,configuration,best_val_loss,best_val_mae,training_time_seconds,epochs
MLP,1,"{'units': 32, 'lr': 0.001}",0.0008795498288236558,0.019540825858712196,12.702142546000005,47
MLP,2,"{'units': 64, 'lr': 0.001}",0.0008258171728812158,0.018743829801678658,5.68178151699999,23
MLP,3,"{'units': 128, 'lr': 0.001}",0.0008278596214950085,0.018637467175722122,6.8324251179999465,20
MLP,4,"{'units': 64, 'lr': 0.0005}",0.0008822293602861464,0.020081225782632828,5.4799857819999716,20
CNN,1,"{'filters': 16, 'kernel': 3, 'lr': 0.001}",0.00091084762243554,0.02011263370513916,7.041751246999979,21
CNN,2,"{'filters': 32, 'kernel': 3, 'lr': 0.001}",0.00091044936561957,0.019998770207166672,6.306895370999996,21
CNN,3,"{'filters': 64, 'kernel': 3, 'lr': 0.001}",0.0008464209968224168,0.018951337784528732,10.640126153999972,29
CNN,4,"{'filters': 32, 'kernel': 5, 'lr': 0.001}",0.0008580613066442311,0.019174814224243164,14.987315154000044,50
LSTM,1,"{'units': 32, 'lr': 0.001}",0.0008852620958350599,0.019437968730926514,11.701364365000018,14
LSTM,2,"{'units': 64, 'lr': 0.001}",0.0008649369119666517,0.019000595435500145,26.946871566000027,31
LSTM,3,"{'units': 128, 'lr': 0.001}",0.0008832603925839067,0.01941084675490856,42.84084800200003,23
LSTM,4,"{'units': 64, 'lr': 0.0005}",0.0008685089414939284,0.019467458128929138,25.079126729999984,30
