square_id,model,datetime,actual,predicted,absolute_error,percentage_error,underprediction
5161,CNN,2013-12-22 15:20:00,5496.4404,4641.442,854.99854,15.555495,854.99854
5161,CNN,2013-12-22 14:30:00,4911.654,4158.7437,752.91016,15.329056,752.91016
5161,CNN,2013-12-17 15:00:00,3876.9597,3125.0144,751.9453,19.395233,751.9453
5161,LSTM,2013-12-17 15:00:00,3876.9597,3154.7441,722.2156,18.6284,722.2156
5161,CNN,2013-12-21 14:50:00,5115.5303,4397.3916,718.1387,14.038402,718.1387
5161,CNN,2013-12-22 15:10:00,5202.037,4487.593,714.44434,13.733933,714.44434
5161,LSTM,2013-12-17 14:30:00,3517.678,2891.5327,626.14526,17.79996,626.14526
5161,LSTM,2013-12-22 15:20:00,5496.4404,4874.2607,622.1797,11.319684,622.1797
5059,CNN,2013-12-20 22:40:00,1177.4384,556.40234,621.036,52.744675,621.036
5161,MLP,2013-12-17 15:00:00,3876.9597,3267.1038,609.85596,15.730264,609.85596
5059,MLP,2013-12-20 22:40:00,1177.4384,578.7829,598.65546,50.843887,598.65546
5161,MLP,2013-12-17 14:30:00,3517.678,2932.1091,585.56885,16.64646,585.56885
5161,LSTM,2013-12-22 14:30:00,4911.654,4335.255,576.3989,11.7353325,576.3989
5059,LSTM,2013-12-20 22:40:00,1177.4384,605.6286,571.80975,48.56388,571.80975
5161,LSTM,2013-12-18 12:20:00,3527.2244,2955.9072,571.31714,16.197357,571.31714
5161,MLP,2013-12-22 15:20:00,5496.4404,4960.5786,535.8618,9.749251,535.8618
5161,MLP,2013-12-22 14:30:00,4911.654,4397.938,513.7158,10.459122,513.7158
5161,MLP,2013-12-21 14:50:00,5115.5303,4622.257,493.27344,9.642665,493.27344
5059,CNN,2013-12-17 15:10:00,3124.105,2654.0554,470.04956,15.045895,470.04956
5059,LSTM,2013-12-17 15:10:00,3124.105,2669.1226,454.98242,14.563608,454.98242
5059,CNN,2013-12-18 15:30:00,2889.628,2476.6807,412.94727,14.290672,412.94727
5059,MLP,2013-12-17 15:10:00,3124.105,2712.7026,411.40234,13.168647,411.40234
5059,LSTM,2013-12-18 15:30:00,2889.628,2479.2913,410.33667,14.200328,410.33667
5259,MLP,2013-12-20 14:40:00,3127.0876,2718.722,408.36572,13.05898,408.36572
5259,MLP,2013-12-19 16:00:00,3048.158,2652.2231,395.9348,12.989314,395.9348
5259,CNN,2013-12-18 10:10:00,3279.4287,2894.0718,385.35693,11.750734,385.35693
5259,CNN,2013-12-19 16:00:00,3048.158,2666.6052,381.55273,12.517485,381.55273
5059,LSTM,2013-12-17 14:30:00,2892.69,2514.942,377.74805,13.058712,377.74805
5259,MLP,2013-12-18 10:10:00,3279.4287,2906.2485,373.18018,11.379427,373.18018
5259,CNN,2013-12-17 15:10:00,3764.5303,3396.9297,367.6006,9.764847,367.6006
5059,LSTM,2013-12-22 15:20:00,2651.8508,2284.6418,367.20898,13.847272,367.20898
5059,MLP,2013-12-17 15:40:00,3181.4688,2816.6333,364.83545,11.467516,364.83545
5259,LSTM,2013-12-19 11:40:00,3468.6465,3106.2288,362.41772,10.44839,362.41772
5259,LSTM,2013-12-18 10:10:00,3279.4287,2923.475,355.9536,10.854135,355.9536
5059,MLP,2013-12-18 15:30:00,2889.628,2533.8062,355.82178,12.313758,355.82178
5059,CNN,2013-12-22 15:20:00,2651.8508,2297.0571,354.7937,13.379097,354.7937
5259,LSTM,2013-12-17 07:40:00,1657.8983,1309.5779,348.32043,21.009758,348.32043
5259,CNN,2013-12-20 14:40:00,3127.0876,2779.115,347.97266,11.127691,347.97266
5259,LSTM,2013-12-20 14:40:00,3127.0876,2784.978,342.10962,10.940199,342.10962
5059,MLP,2013-12-22 15:20:00,2651.8508,2314.1086,337.7422,12.736093,337.7422
5259,MLP,2013-12-17 15:10:00,3764.5303,3427.8013,336.729,8.944781,336.729
5259,LSTM,2013-12-17 15:10:00,3764.5303,3433.21,331.3203,8.801106,331.3203
5259,CNN,2013-12-19 11:40:00,3468.6465,3160.2683,308.37817,8.890447,308.37817
5059,CNN,2013-12-19 12:10:00,2767.8403,2464.4414,303.39893,10.9615755,303.39893
5259,MLP,2013-12-19 08:00:00,1859.0156,1568.7166,290.29907,15.615742,290.29907
